,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
37,EVER,บริษัท เอเวอร์แลนด์ จำกัด (มหาชน),SET,PROPCON,PROP,
38,F&D,บริษัท ฟู้ดแอนด์ดริ๊งส์ จำกัด (มหาชน),SET,AGRO,FOOD,
39,FANCY,บริษัท แฟนซีวู๊ด อินดัสตรีส จำกัด (มหาชน),SET,CONSUMP,HOME,
40,FE,บริษัท ฟาร์อีสท์ เฟมไลน์ ดีดีบี จำกัด (มหาชน),SET,SERVICE,MEDIA,
41,FLOYD,บริษัท ฟลอยด์ จำกัด (มหาชน),mai,PROPCON,-,
42,FMT,บริษัท ไฟน์ เม็ททัล เทคโนโลยีส์ จำกัด (มหาชน),SET,INDUS,IMM,
43,FN,บริษัท เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน),SET,SERVICE,COMM,
44,FNS,บริษัท เอฟเอ็นเอส โฮลดิ้งส์ จำกัด (มหาชน),SET,FINCIAL,FIN,
45,FORTH,บริษัท ฟอร์ท คอร์ปอเรชั่น จำกัด (มหาชน),SET,TECH,ICT,
46,FPI,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),mai,INDUS,-,
47,FPT,บริษัท เฟรเซอร์ส พร็อพเพอร์ตี้ (ประเทศไทย) จำกัด (มหาชน),SET,PROPCON,PROP,
48,FSMART,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),mai,SERVICE,-,
49,FSS,บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน),SET,FINCIAL,FIN,
50,FTE,บริษัท ไฟร์เทรดเอ็นจิเนียริ่ง จำกัด (มหาชน),SET,SERVICE,COMM,
51,FTI,บริษัท ฟังก์ชั่น อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,CONSUMP,HOME,
